Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,797.5,0.1614,0.575,0.0001,4940,4940,0,0,0,0,0,540,540,4400,4400,0,0,28.95999999999993,11.663999999999776,28.95999999999993,6164.000000000648,0.0,0.0,1267.2064777327935,0.208,0.3266,6.3306,0,34.4096,0.6617,3.249,3.249,18.8576,18.8576,12.303,0.2461,1.1108,0,3.1524,4.2632,0,0,0,33.4753,99.058,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,100,1611.2375,0.1587,156.5125,0.0154,10150,10147,0,3,0,0,0,1050,1050,9098,9097,2,0,60.78153846153265,22.67999999999947,60.78153846153265,12712.00000000072,0.0,0.0,1268.9655172413793,0.2251,0.6351,13.2639,0.0009,51.6933,0.5068,6.3175,6.3175,20.6487,20.6487,24.7271,0.2473,2.1599,0,6.6175,8.7774,0,0,0,33.48,99.083,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,150,2407.5,0.1595,489.7125,0.0325,15090,15061,0,29,0,0,0,1590,1590,13500,13471,0,0,89.7415384615075,34.343999999999916,89.7415384615075,18876.00000000011,0.0,0.0,1268.389662027833,0.2235,0.9617,19.5968,0,68.8799,0.4532,9.5665,9.5665,22.2847,22.2847,37.0287,0.2469,3.2707,0,9.7696,13.0403,0,0,0,33.4743,99.0527,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,200,3220,0.1586,1072.4875,0.0528,20300,19921,0,379,0,0,0,2100,2100,18200,17821,0,0,121.56307692301603,45.360000000003254,121.56307692301603,25423.999999999378,0.0,0.0,1268.9655172413793,0.2279,1.2702,26.5323,0,86.1629,0.4265,12.635,12.635,24.0764,24.0764,49.4515,0.2473,4.3198,0,13.2343,17.5541,0,0,0,33.474,99.051,-1.0,[98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,250,4017.5,0.1592,1915.025,0.0759,25240,23689,0,1551,0,0,0,2640,2640,22600,21049,0,0,150.52307692305462,57.02400000000676,150.52307692305462,31587.999999998792,0.0,0.0,1268.621236133122,0.2267,1.5968,32.8629,0,103.3503,0.4101,15.884,15.884,25.7118,25.7118,61.7545,0.247,5.4306,0,16.3867,21.8173,0,0,0,33.4727,99.0441,-1.0,[99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,300,4831.35,0.1587,2955.4875,0.0971,30450,26825,0,3625,0,0,0,3150,3150,27297,23675,3,0,182.3446153846572,68.0400000000074,182.3446153846572,38135.99999999751,0.0,0.0,1268.9655172413793,0.2295,1.9052,39.796,0.0003,120.634,0.3995,18.9525,18.9525,27.5028,27.5028,74.1786,0.2473,6.4797,0,19.8518,26.3315,0,0,0,33.4751,99.0566,-1.0,[98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1724.275,0.349,0,0,4940,4875,0,65,0,0,0,2083,2083,2162,2162,695,630,20.138707692306745,17.655760000000182,20.138707692306745,5479.510000000544,0.0,0.0,1165.7860824742268,1.0464,0.2008,4.1956,0.9696,33.0023,0.6347,1.9973,1.9973,18.3061,18.3061,12.6989,0.254,1.7023,0,2.3458,4.0481,0,0,0,33.4598,99.0242,-1.0,[99.04314814814815- 98.74336521481483- 98.31715417185185- 99.04314814814815- 99.04314814814815- 99.04314814814815- 98.30998244740742- 98.31476359703704- 98.74336521481483- 99.0623448562963- 99.06242315822223- 98.30281072296297- 98.31237302222223- 99.04314814814815- 99.04314814814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,100,3492.35,0.3441,0.3,0,10150,9892,0,258,0,0,0,3848,3848,3560,3560,2742,2484,43.316369230767705,33.77592000000115,43.316369230767705,11260.90000000094,0.0,0.0,1178.7904241915162,1.0517,0.3615,6.5369,0.9718,49.4456,0.4848,3.5961,3.5961,18.9109,18.9109,26.9387,0.2694,3.2595,0,5.4728,8.7323,0,0,0,33.4322,98.9864,-1.0,[98.30520129777778- 99.04314814814815- 98.74336521481483- 98.30281072296297- 98.30281072296297- 99.04314814814815- 98.21462041185185- 99.04314814814815- 99.06281466785185- 98.30051372711111- 99.06289296977779- 98.2686524474074- 98.33627877037037- 99.06304957362964- 99.04314814814815- 98.74336521481483- 99.04314814814815- 98.30281072296297- 99.0414556248889- 99.04314814814815- 99.00052184888891- 99.06297127170372- 98.74336521481483- 99.04314814814815- 99.04314814814815- 98.33388819555556- 99.04314814814815- 99.0413347303704- 99.04314814814815- 99.04314814814815- 99.47904310003955- 98.86557646302886- 99.3309282423883- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86621319034204- 99.47904310003955- 98.25824449238831- 98.8676213518189- 99.47904310003955- 98.8676213518189],[]
ALL, ROUND_ROBIN,150,6157.4375,0.408,9.2625,0.0006,15090,14203,0,887,0,0,0,6087,6087,5454,5454,3549,2662,64.85341538461091,53.68752000000238,64.85341538461091,17249.62000000014,0.0,0.0,1172.1039361255077,1.4979,0.5282,10.2218,1.4118,65.2921,0.4296,5.2547,5.2547,19.8628,19.8628,40.1746,0.2678,5.1856,0,8.067,13.2526,0,0,0,33.442,98.9698,-1.0,[99.06328447940743- 99.04314814814815- 98.22143567762963- 98.74082642992595- 99.0635193851852- 98.74336521481483- 98.36496566814816- 98.34823164444445- 98.63977534814815- 98.7425189531852- 98.7956945214815- 99.04314814814815- 99.06328447940743- 99.04036757422223- 99.04314814814815- 99.04314814814815- 98.36735624296297- 98.35062221925926- 98.63977534814815- 98.36257509333333- 99.0638325928889- 98.00541836444444- 98.74336521481483- 99.04314814814815- 98.63977534814815- 98.91777637896297- 98.01855286814815- 98.34823164444445- 98.35731036562963- 99.04314814814815- 99.06336278133334- 99.04314814814815- 98.9365824- 98.63977534814815- 98.74336521481483- 99.04314814814815- 98.80102280888889- 98.63626940711112- 98.34584106962963- 98.92890170666666- 98.02105811259258- 98.30281072296297- 98.93593144592593- 99.04314814814815- 98.3366073682963- 99.4770984960953- 99.47904310003955- 99.47904310003955- 99.4770984960953- 98.86966624060892- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47716555140373- 99.4770984960953- 99.47904310003955- 99.47904310003955- 98.26028938117834- 99.47904310003955- 99.4777019938711- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.3309282423883- 98.86966624060892- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,200,8159.4625,0.4019,35.2625,0.0017,20300,18953,0,1347,0,0,0,6709,6709,6533,6533,7058,5711,102.64910769228065,51.82744000000373,102.64910769228065,23158.909999999272,0.0,0.0,1195.0844453711427,1.4636,0.5582,12.2454,1.3813,82.143,0.4066,5.5526,5.5526,20.3856,20.3856,56.2048,0.281,4.9968,0,13.3416,18.3385,0,0,0,33.4029,98.8573,-1.0,[99.06375429096298- 98.75839650962963- 99.04314814814815- 99.04314814814815- 98.31222481214814- 99.04314814814815- 98.00302778962963- 98.23722986074074- 98.30281072296297- 98.30281072296297- 98.8063510962963- 99.04314814814815- 98.93386731051854- 99.06398919674075- 98.05801101037036- 98.1637281125926- 99.03927952355558- 98.7380369274074- 97.99769950222223- 98.28807105007407- 98.00302778962963- 98.29582615644445- 98.74336521481483- 98.4435822814815- 98.26407332148148- 99.04314814814815- 98.29748243555555- 99.04314814814815- 98.36257509333333- 98.34235621925924- 99.04290635911113- 98.14002438814815- 98.00302778962963- 98.36257509333333- 97.96832237629629- 98.27049588444446- 98.35779394370371- 98.86198637629631- 98.30360235348148- 98.74336521481483- 98.0006372148148- 98.38157879733333- 99.04740674518519- 98.87797123851854- 98.63977534814815- 99.04314814814815- 99.05622107614815- 98.30042014814815- 97.77735267555555- 99.04314814814815- 98.88862781333334- 98.76436286725927- 99.04314814814815- 99.06375429096298- 98.6527843288889- 98.155589232- 99.04314814814815- 99.04314814814815- 99.04314814814815- 98.86731466370371- 99.47723260671214- 99.3309282423883- 99.47877487880585- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.57139163651641- 98.86520736071571- 98.8676213518189- 99.3309282423883- 98.86936419360418- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 98.86557646302886- 99.47904310003955- 98.26028938117834- 99.47904310003955- 99.47904310003955- 98.25787539007513- 98.86534147133254- 98.86966624060892- 99.47904310003955- 99.47904310003955- 99.3309282423883],[]
